Adresse;x;y;Arrondissement
22 RUE JEAN REY;48.855787; 2.292742;75015
22 RUE JULIETTE DODU;48.876026; 2.368754;75010
22 RUE LEGENDRE;48.882712; 2.31232;75017
22 RUE MARX DORMOY;48.886104; 2.359647;75018
22 RUE MILTON;48.87837; 2.341238;75009
22 RUE PAUL VALERY;48.870694; 2.289559;75016
22 SQUARE ALBONI;48.85705; 2.285782;75016
224 RUE SAINT DENIS;48.868318; 2.352042;75002
225 RUE DE L'UNIVERSIT2;48.859628; 2.296288;75007
23 AVENUE CESAR PALACE;48.847145; 2.309339;75015
23 AVENUE GEORGE V;48.867515; 2.300938;75008
23 AVENUE JUNOT;48.88839; 2.335468;75018
23 RUE BENJAMIN FRANKLIN;48.860399; 2.285725;75016
23 RUE DE CLOVIS ANGLE DES CLOVIS ET CLOTILDE;48.846358; 2.347383;75005
23 RUE DE LA GRANGE AUX BELLES;48.874681; 2.366281;75010
23 RUE DES PETITS CHAMPS;48.866581; 2.337473;75001
23 RUE DU DOCTEUR POTAIN;48.877122; 2.397805;75019
23 RUE JEAN PIERRE TIMBAUD;48.865401; 2.368368;75011
23 RUE LAMARTINE;48.87648; 2.341533;75009
23 RUE TAITBOUT;48.873134; 2.335257;75009
23/25 AVENUE FRANKLIN ROOSEVELT;48.867086; 2.309987;75008
23/31 RUE PIERRE SEMARD;48.879105; 2.348291;75009
23/35 RUE DU COLONEL ROZANOFF;48.846198; 2.387108;75012
234 RUE DE RIVOLI;48.865375; 2.327206;75001
234 RUE DU FAUBOURG SAINT MARTIN;48.881278; 2.365561;75010
236 BOULEVARD SAINT GERMAIN;48.856008; 2.326373;75007
24 AVENUE D'EYLAU;48.8647; 2.284614;75016
24 AVENUE GEORGE V;48.867652; 2.301502;75008
24 RUE DE SEVRES;48.850563; 2.324704;75007
24 RUE DU COTENTIN;48.838747; 2.314191;75015
24 RUE RENE BOULANGER;48.86845; 2.362228;75010
24 RUE SAINT AMBROISE;48.862641; 2.378573;75011
24 RUE SAINT VICTOR;48.848644; 2.350496;75005
24 RUE VICTOR MASSE;48.880901; 2.338061;75009
24/26 RUE DES CARMES;48.848462; 2.347102;75005
24/39 RUE OBERKAMPF;48.864326; 2.37131;75011
24/45 RUE CAUMARTIN;48.872974; 2.328241;75009
244 RUE DE RIVOLI;48.864132; 2.368131;75011
244 RUE LECOURBE;48.839442; 2.292128;75015
248 RUE SAINT HONORE;48.868172; 2.324131;75008
25 ALLEE CELESTIN HENNION;48.852341; 2.36038;75004
25 AVENUE DE L'OBSERVATOIRE;48.841911; 2.337469;75006
25 AVENUE DE L'OBSERVATOIRE/PLACE ERNEST DENIS;48.841911; 2.337469;75006
25 AVENUE DES CHAMPS ELYSEES/HOTEL PAIVA;48.869386; 2.307714;75008
25 AVENUE REILLE;48.824071; 2.335778;75014
25 BOULEVARD DE LA VILLETTE;48.873413; 2.375134;75010
25 QUAI DE CORSE (HOTEL DIEU);48.854811; 2.354243;75004
25 RUE BEAUTREILLIS;48.853687; 2.364364;75004
25 RUE DE LA LUNE/EGLISE N.D.B.N;48.869745; 2.349589;75002
25 RUE DU MAIL;48.867056; 2.343126;75002
25 RUE LAURENCE SAVART;48.868242; 2.393778;75020
25 RUE PIERRE FONTAINE;48.882023; 2.333718;75009
25 RUE TITON;48.852329; 2.386265;75011
25 RUE YVES TOUDIC;48.870873; 2.362897;75010
25/37 AVENUE LOWENDAL;48.848519; 2.302844;75015
254 RUE DU FAUBOURG SAINT ANTOINE;48.848965; 2.391021;75012
254 RUE SAINT JACQUES;48.843022; 2.341287;75005
254/256 RUE SAINT HONORE;48.864119; 2.333768;75001
26 ET 18 AVENUE DAUMESNIL;48.848245; 2.372988;75012
26 RUE DE LA FONTAINE;48.851796; 2.273627;75016
26 RUE DU PETIT MUSC;48.852564; 2.36447;75004
26 RUE DUHESME;48.89101; 2.339263;75018
26 RUE JEAN DE LA FONTAINE;48.851796; 2.273627;75016
26/28 RUE DE LONDRES;48.877418; 2.32837;75009
26/34 RUE DURANTIN;48.886586; 2.335717;75018
27 AVENUE DES TERNES;48.878295; 2.294975;75017
27 AVENUE DES TERNES/LE SECRET SQUARE;48.878295; 2.294975;75017
27 BOULEVARD JOURDAN;48.820414; 2.33742;75014
27 PLACE SAINT GEORGE/FONDATION DOSNE THIERS;48.8718; 2.3399;75009
27 PLACE SAINT GEORGES;48.878391; 2.337345;75009
27 QUAI BRANLY/RESTAURANT LES OMBRES;48.861723; 2.298691;75007
27 RUE DE BOURGOGNE;48.858167; 2.317776;75007
27 RUE DE CHALIGNY;48.850511; 2.384164;75011
27 RUE DU BUISSON SAINT LOUIS;48.873221; 2.374604;75010
27 RUE SAINT GUILLAUME (ECOLE SCIENCE PO);48.8565; 2.321;75007
27 RUE WASHINGTON;48.873433; 2.303342;75008
27/49 AVENUE DE L'OPERA;48.869818; 2.332426;75002
27/50 RUE DU CHATEAU LANDON/LYCEE COLBERT;48.883414; 2.364165;75010
277 RUE DE CHARENTON;48.835044; 2.39314;75012
28 BOULEVARD DES CAPUCINES;48.87015; 2.328351;75009
28 PLACE DENFERT ROCHEREAU;48.833798; 2.331199;75014
28 RUE AMPERE;48.885286; 2.303643;75017
28 RUE DE DOUAI;48.88253; 2.332927;75009
28 RUE GEOFFROY L'ASNIER;48.855033; 2.356798;75004
28 RUE PIERRE SEMART;48.878733; 2.348177;75009
28/38 RUE BOTZARIS;48.878691; 2.38248;75019
284 RUE SAINT HONORE;48.868172; 2.324131;75008
29 AVENUE RAPP;48.859118; 2.300887;75007
29 RUE CHAUDRON;48.883661; 2.364481;75010
29 RUE JEAN JACQUES ROUSSEAU;48.862997; 2.341307;75001
29/37 RUE LE BRUN;48.834973; 2.35352;75013
292 RUE SAINT MARTIN;48.866961; 2.354634;75003
293 AVENUE DAUMESNIL;48.834895; 2.408481;75012
2BIS AVENUE FOCH;48.873669; 2.292556;75016
2BIS AVENUE FOCH/LE DUPLEX;48.873669; 2.292556;75016
2BIS CITE POPINCOURT;48.862174; 2.374468;75011
3 AVENUE DE LAUMIERE;48.882861; 2.381239;75019
3 AVENUE MATIGNON;48.869629; 2.311269;75008
3 AVENUE PAUL DOUMER;48.882861; 2.381239;75019
3 AVENUE THEOPHILE GAUTIER;48.851012; 2.27518;75016
3 BOULEVARD MORLAND;48.847709; 2.364989;75004
3 COUR BERARD;48.854299; 2.366394;75004
3 ET 5 RUE MEISSONNIER;48.883108; 2.304309;75017
3 IMPASSE BONNE NOUVELLE;48.870697; 2.350574;75010
3 PLACE DU RHIN ET DANUBE;48.88224; 2.393081;75019
3 PLACE SAINT THOMAS D'AQUIN;48.855998; 2.327488;75007
3 QUAI AUX FLEURS;48.853182; 2.35199;75004
3 QUAI LOUIS BLERIOT;48.850901; 2.278403;75016
3 QUAI MALAQUAIS;48.857544; 2.335954;75006
3 RUE BACHAUMONT;48.865846; 2.34652;75002
3 RUE BOTZARIS;48.877908; 2.381319;75019
3 RUE CAMPAGNE 1ER/CENTRE YOGA BIKRAM;48.84024; 2.333393;75014
3 RUE CAULAINCOURT (HOTEL MERCURE);48.884999; 2.329905;75018
3 RUE D'ABOUKIR;48.866054; 2.341845;75002
3 RUE D'ARGENTEUIL;48.864359; 2.334043;75001
3 RUE DE CASTIGLIONE;48.865715; 2.327482;75001
3 RUE DE CHAPTAL;48.880497; 2.334476;75009
3 RUE DE L'ANNONCIATION;48.85576; 2.280588;75016
3 RUE DE L'ECHIQUIER;48.870988; 2.352895;75010
3 RUE DU PASTEUR WAGNER;48.855969; 2.369003;75011
3 RUE JEAN BAPTISTE SAY;48.881472; 2.34204;75009
3 RUE LOBAU;48.856108; 2.353209;75004
3 RUE VITRUVE;48.856457; 2.401974;75020
3 VILLA MARCEL LODS;48.875419; 2.377377;75019
3/5 PLACE CASADESUS;48.888524; 2.337377;75018
3/5 PLACE RHIN ET DANUBE;48.882182; 2.393117;75019
30 BOULEVARD DE BELLEVILLE;48.868267; 2.38225;75020
30 RUE PERIGNON;48.847295; 2.307935;75015
307 AU 317 RUE DE BELLEVILLE;48.876556; 2.403746;75019
31 AVENUE FRANKLIN ROOSEVELT;48.867419; 2.309923;75008
31 BOULEVARD AUGUSTE BLANQUI;48.829917; 2.351928;75013
31 BOULEVARD DU PORT ROYAL;48.837997; 2.344724;75005
315 RUE DE BELLEVILLE;48.876516; 2.403625;75019
32 BIS RUE DES BOIS;48.878365; 2.399675;75019
32 BOULEVARD DE COURCELLES;48.880878; 2.311352;75017
32 RUE DE MONCEAU;48.877059; 2.309451;75008
32 RUE DE THIONVILLE;48.889879; 2.384949;75019
32 RUE DES RASSELINS;48.855033; 2.408643;75020
32 RUE LONGCHAMP;48.865077; 2.289923;75016
32 RUE RICHER;48.87409; 2.344891;75009
32 RUE RICHER (LES FOLIES BERGERES);48.87409; 2.344891;75009
32 RUE SAINT MARC;48.870723; 2.338692;75002
32 RUE SAINT MARC/LES LYONNAIS;48.870723; 2.338692;75002
32/34 RUE MARBEUF;48.869418; 2.305211;75008
33 AVENUE DE SAINT MANDE ANGLE BOULEVARD PICPUS;48.844956; 2.401011;75012
33 AVENUE DU MAINE;48.842281; 2.321236;75015
33 AVENUE DU MAINE (TOUR MONTPARNASSE);48.8428; 2.320433;75015
33 AVENUE FOCH;48.872295; 2.286099;75016
33 AVENUE SECRETAN;48.881383; 2.373733;75019
33 AVENUE SECRETAN (SUPERETTE LES 5 FERMES);48.881383; 2.373733;75019
33 AVENUE SECRETAN/SUPERMARCHE LES 5 FERMES;48.881383; 2.373733;75019
33 BIS RUE FAIDHERBE;48.853081; 2.382692;75011
33 BOULEVARD DE CLICHY;48.882679; 2.335592;75009
33 BOULEVARD DE LA CHAPELLE;48.884214; 2.360114;75010
33 BOULEVARD DES INVALIDES;48.852291; 2.314847;75007
33 RUE DU MAROIS/AQUA LOFT 31;48.838412; 2.260678;75016
33 RUE DULONG;48.884551; 2.316894;75017
33 RUE MAROIS;48.838412; 2.260678;75016
33 RUE MAX DORMOY;48.886877; 2.35946;75018
33 RUE SAINT AMBROISE;48.862736; 2.378447;75011
33BIS RUE FAIDHERBE;48.853081; 2.382692;75011
34 AVENUE DE CHOISY;48.822303; 2.363138;75013
34 BIS IMPASSE DE LA TOUR D'AUVERGNE;48.879763; 2.342312;75009
34 BOULEVARD BONNE NOUVELLE/DELAULLE CAFE;48.870706; 2.349363;75010
34 BOULEVARD VICTOR;48.832901; 2.286803;75015
34 ET 39 RUE DE BELLEVILLE;48.872951; 2.380028;75019
34 QUAI DE LA MARNE;48.890336; 2.384201;75019
34 RUE DE L'ECHIQUIER;48.871637; 2.350089;75010
34 RUE DE LA MONTAGNE SAINTE GENEVIEVE;48.848024; 2.348461;75005
34 RUE DE LA VERRERIE;48.857724; 2.353853;75004
34 RUE DULONG;48.884562; 2.317095;75017
34 RUE GAY LUSSAC;48.84447; 2.341796;75005
34 RUE RAMEY;48.889382; 2.346353;75018
34 RUE RICHER;48.87409; 2.344515;75009
34-14/43 RUE DULONG;48.885227; 2.316246;75017
34/38 RUE DU CHEVALIER DE LA BARRE;48.887303; 2.344012;75018
34/52 RUE DU CHATEAU D'EAU;48.871558; 2.357742;75010
35 RUE DE BIEVRE;48.850564; 2.350188;75005
35 RUE DES RENAUDES;48.881049; 2.297179;75017
35 RUE LEON;48.888733; 2.353503;75018
35 RUE SIBUET;48.843451; 2.402284;75012
35/41 BOULEVARD DE LA VILLETTE ET SUR LE TERRE-PLEIN;48.878667; 2.370574;75019
35/41 QUAI DE LA TOURNELLE;48.850425; 2.353049;75005
351 RUE DES PYRENEES;48.872207; 2.391365;75020
36 BOULEVARD BONNE NOUVELLE;48.870727; 2.349059;75010
36 BOULEVARD BONNE NOUVELLE/THEATRE DU GYMNASE;48.870008; 2.350304;75002
36 QUAI DE LA MARNE;48.890141; 2.383679;75019
36 RUE DE PONTHIEU;48.871222; 2.308095;75008
36 RUE DE PONTHIEU (PINK PARADISE);48.871222; 2.308095;75008
36 RUE DU RENDEZ VOUS;48.845919; 2.402947;75012
36 RUE LAUGIER;48.882108; 2.294696;75017
36/38 RUE PIERRE SEMARD;48.879273; 2.348649;75009
36/40 QUAI DES ORFEVRES;48.856182; 2.342193;75001
37 BIS QUAI DE LA SEINE;48.886088; 2.373251;75019
37 BOULEVARD DE CLICHY;48.882788; 2.33523;75009
37 BOULEVARD DE LA CHAPELLE;48.884395; 2.355889;75018
37 BOULEVARD JOURDAN/CITE UNIVERSITAIRE;48.820544; 2.33899;75014
37/39 AVENUE TRUDAINE;48.880917; 2.342071;75009
37/41 AVENUE DU GENERAL SARRAIL;48.842933; 2.25497;75016
37BIS BOULEVARD DE LA CHAPELLE;48.884395; 2.355889;75018
37BIS QUAI DE LA SEINE;48.886088; 2.373251;75019
38 AVENUE SIMON BOLIVAR;48.87542; 2.382281;75019
38 RUE DE CRIMEE;48.879353; 2.390022;75019
38 RUE DU FAUBOURG SAINT JACQUES;48.836403; 2.337996;75014
38 RUE FALGUIERE;48.84226; 2.315232;75015
38/42 BOULEVARD DE CLICHY;48.883024; 2.335917;75018
38/44 BOULEVARD DE CLICHY;48.883059; 2.3358;75018
38BIS RUE FABERT;48.85938; 2.31117;75007
39 BOULEVARD MAGENTA;48.872477; 2.359217;75010
39 RUE DE BELLEVILLE;48.872951; 2.380028;75019
4 AVENUE DE L'OBSERVATOIRE;48.843419; 2.336335;75006
4 AVENUE FELIX FAURE;48.842643; 2.291367;75015
4 AVENUE RICHERAND/CENTRE NATIONAL DE SANTE;48.871779; 2.365692;75010
4 BOULEVARD DU PALAIS;48.854852; 2.345722;75004
4 BOULEVARD DU PALAIS/PALAIS DE JUSTICE;48.855732; 2.345992;75001
4 ET 25 RUE DE L'ERMITAGE;48.870162; 2.391437;75020
4 ET 26 RUE MARSOULAN;48.846926; 2.403426;75012
4 PASSAGE DES ABBESSES;48.884856; 2.338147;75018
4 RUE ARSENE HOUSSAYE;48.873602; 2.298162;75008
4 RUE BOISSIERE;48.8656; 2.292904;75016
4 RUE BURNOUF;48.875397; 2.373936;75019
4 RUE COLETTE;48.893594; 2.327087;75017
4 RUE D'UZES/SHOW ROOM BY;48.870512; 2.345112;75002
4 RUE DE DOUAI;48.881376; 2.33588;75009
4 RUE DE LA COUR DES NOUES;48.863789; 2.403355;75020
4 RUE DE VALOIS;48.863111; 2.337787;75001
4 RUE DES BELLES FEUILLES;48.865872; 2.283046;75016
4 RUE DU FRANCOEUR;48.890023; 2.342695;75018
4 RUE EDOUARD DETAILLE;48.882897; 2.305303;75017
4 RUE FRANCOEUR;48.890023; 2.342695;75018
4 RUE GRESSET;48.89045; 2.377834;75019
4 RUE JEAN COTTIN;48.893495; 2.361569;75018
4 RUE JEAN DU BELLAY;48.852803; 2.353543;75004
4 RUE MAZAGRAN;48.870312; 2.351399;75010
4 RUE MONSIGNY;48.868378; 2.335315;75002
4 RUE OLIVIER MESSIAEN;48.829934; 2.379074;75013
4 RUE PASQUIER;48.871287; 2.323143;75008
4 RUE PIERRE 1ER DE SERBIE;48.865313; 2.29513;75016
4 RUE ROBERVAL;48.894485; 2.322138;75017
4 RUE STEPHENSON;48.885508; 2.356824;75018
4 SQUARE ALBONI;48.858127; 2.286172;75016
4 SQUARE D'ALBONI;48.858127; 2.286172;75016
4/6 RUE PIERRE MOUILLARD;48.867323; 2.408001;75020
40 RUE CORVISART;48.831671; 2.347511;75013
40 RUE DE CONSTANTINOPLE;48.880334; 2.319577;75008
40 RUE DE LA VERRERIE;48.857861; 2.353417;75004
40 RUE NOTRE DAME;48.868876; 2.342135;75002
40 RUE NOTRE DAME DES VICTOIRES;48.868876; 2.342135;75002
40 RUE NOTRE DAME DES VICTOIRES (LE GALOPIN);48.868876; 2.342135;75002
40 RUE WASHINGTON;48.874173; 2.304655;75008
41 RUE DAREAU;48.830352; 2.335481;75014
41 RUE DE CHAZELLES;48.880924; 2.306182;75017
41 RUE MONSIEUR LE PRINCE;48.849782; 2.340116;75006
41 RUE POUSSIN;48.848352; 2.260817;75016
41/47 AVENUE DES GOBELINS;48.835179; 2.353281;75013
42 AVENUE DE FRIEDLAND;48.874211; 2.297694;75008
42 BOULEVARD DE STRASBOURG;48.872742; 2.356407;75010
42 QUAI BOURBON;48.853036; 2.355069;75004
42 RUE DES COURONNES;48.869981; 2.383386;75020
42 RUE DES PETITES ECURIES;48.873921; 2.350107;75010
42 RUE DES SAULES;48.890213; 2.340424;75018
42 RUE DU CHERCHE MIDI;48.849568; 2.326334;75006
42 RUE LEPIC;48.886101; 2.334527;75018
42 RUE SCHEFFER;48.862499; 2.28159;75016
42/44 RUE SIBUET;48.844318; 2.402442;75012
42/50 RUE DES PETITES ECURIES;48.873982; 2.34916;75010
43 AVENUE DE LA GRANDE ARMEE;48.875244; 2.289295;75016
43 QUAI DE BOURBON;48.853493; 2.35353;75004
43 RUE CUVIER;48.84491; 2.35725;75005
43 RUE DE CONSTANTINOPLE;48.880925; 2.317246;75008
43 RUE SAINT PETERSBOURG;48.882855; 2.32638;75008
43/45 RUE DE LA BOETIE (SALLE GAVEAU);48.873526; 2.314183;75008
43/45 RUE PETIT;48.885336; 2.384879;75019
43/47 RUE DU MONT CENIS;48.889719; 2.342814;75018
43/61 RUE DU FAUBOURG SAINT MARTIN;48.871623; 2.356947;75010
43BIS RUE MARCADET;48.890481; 2.351125;75018
44 AVENUE D'IVRY;48.823448; 2.365814;75013
44/46 BOULEVARD DE LA VILLETTE;48.874156; 2.375129;75019
45 BOULEVARD BEAUSEJOUR;48.857016; 2.268199;75016
45 RUE CAUMARTIN;48.872974; 2.328241;75009
45 RUE DE BELLECHASSE;48.851758; 2.344075;75005
45 RUE DE CLIGNANCOURT;48.876176; 2.307901;75008
45 RUE DES PETITES ECURIES;48.873842; 2.349633;75010
45 RUE DU CARDINAL LEMOINE;48.847118; 2.35259;75005
46 RUE CAMBON;48.869303; 2.327837;75001
46 RUE COQUILLERE;48.864175; 2.341803;75001
46 RUE DE LA TOUR D'AUVERGNE;48.879751; 2.341215;75009
46 RUE MARX DORMOY;48.887471; 2.359959;75018
46 RUE SAINT JACQUES;48.849401; 2.34461;75005
46 RUE SAINT LOUIS EN L'ILE;48.851793; 2.356794;75004
46/176 BOULEVARD MAX DORMOY;48.887296; 2.35968;75018
46/50 TERRE PLEIN CENTRAL BOULEVARD EDGAR QUINET;48.840764; 2.326543;75014
47 AVENUE DES GOBELINS;48.835179; 2.353281;75013
47 ET 48 RUE GUY MOQUET;48.892298; 2.324609;75017
47 RUE DE CHARONNE;48.853315; 2.377442;75011
47 RUE DE MARTYRS;48.879981; 2.340118;75009
47 RUE DE REUILLY;48.846199; 2.38805;75012
47 RUE DU CHATEAU D'EAU;48.871972; 2.356558;75010
47 RUE DU MONTPARNASSE/CREPERIE PLOUGASTEL;48.842389; 2.325955;75014
48 AVENUE DE LA MOTTE PICQUET;48.851; 2.300378;75015
48 RUE CHAPON;48.863994; 2.354181;75003
48 RUE DE COURCELLES;48.876686; 2.307707;75008
48 RUE DE L'ASSOMPTION;48.85442; 2.270404;75016
49 AVENUE RAYMOND POINCARE;48.866777; 2.285901;75016
49 BOULEVARD PICPUS;48.844469; 2.401759;75012
49 RUE DE PONTHIEU;48.871688; 2.306111;75008
49 RUE DE PONTHIEU (LE REGINE'S);48.871688; 2.306111;75008
49 RUE DES ECOLES (LE BALZAC);48.849931; 2.343527;75005
49 RUE DES PETITES ECURIES;48.873874; 2.349195;75010
49 RUE PONTHIEU;48.871688; 2.306111;75008
49/49BIS BOULEVARD DE PICPUS;48.844582; 2.401806;75012
4BIS PASSAGE LANDRIEU;48.860446; 2.303482;75007
4BIS RUE ASSELINE;48.835057; 2.322494;75014
5 AVENUE ALBERT DE MUN (AQUARIUM DE PARIS);48.863238; 2.291363;75016
5 AVENUE DE L'OPERA;48.864789; 2.334598;75001
5 AVENUE DES CHASSEURS;48.887094; 2.306089;75017
5 AVENUE MAC MAHON/CINEMA MAC MAHON;48.875539; 2.294478;75017
5 BIS BOULEVARD EXELMANS (BAR LE MATHUSALEM);48.842818; 2.261179;75016
5 BOULEVARD DES FILLES DU CALVAIRE;48.861535; 2.366844;75003
5 BOULEVARD DES ITALIENS;48.871683; 2.339175;75002
5 BOULEVARD DES ITALIENS/SALLE DE JEUX;48.871683; 2.339175;75002
5 ET 15 AVENUE DE CHOISY;48.820924; 2.363776;75013
5 IMPASSE DES PRIMEVERES;48.858837; 2.36932;75011
5 RUE AUDRAN;48.885194; 2.335877;75018
5 RUE DE BABYLONE;48.851659; 2.32398;75007
5 RUE DE BELLEVILLE;48.872458; 2.377741;75019
5 RUE DE BERRI;48.872003; 2.303188;75008
5 RUE DE CHAILLOT/CABINET D'AVOCATS;48.866144; 2.296045;75016
5 RUE DE DUNKERQUE;48.879301; 2.358142;75010
5 RUE DE L'EXPOSITION;48.857869; 2.302919;75007
5 RUE DE LA BANQUE;48.866664; 2.34016;75002
5 RUE DE LA CITE;48.854671; 2.347805;75004
5 RUE DE SEINE;48.854758; 2.336785;75006
5 RUE DE SENLIS;48.88773; 2.297569;75017
5 RUE DE VIENNE;48.876625; 2.321338;75008
5 RUE DES IRLANDAIS;48.844211; 2.34602;75005
5 RUE DES VIGNES;48.854574; 2.277735;75016
5 RUE DU DOCTEUR PAQUELIN/CAFE DU QUARTIER;48.869189; 2.402734;75020
5 RUE DU DOME;48.87137; 2.291415;75016
5 RUE LEGOUVE;48.872344; 2.361738;75010
5 RUE MARBEUF;48.867494; 2.30209;75008
5 RUE MASSERAN;48.848666; 2.314157;75007
5 RUE PARROT;48.846902; 2.373077;75012
5 RUE PELOUZE;48.881063; 2.318422;75008
5 RUE PIERRE ET MARIE CURIE (FAC DE CHIMIE);48.844672; 2.343855;75005
5 RUE SAINTE HELENE;48.818568; 2.352439;75013
5 RUE SEDAINE;48.855646; 2.37119;75011
5 RUE TILSITT;48.874851; 2.296479;75008
5/11 RUE DE CONSTANTINE;48.860074; 2.31499;75007
5/20 RUE CHARLES RENOUVRIER;48.861559; 2.399801;75020
5/7 AVENUE DE LA PORTE DES TERNES;48.881682; 2.281701;75017
5/7 RUE DE L'AQUEDUC;48.880082; 2.358889;75010
5/7 RUE DE L'ECHELLE;48.864024; 2.334199;75001
5/7 SQUARE CHATILLON;48.825793; 2.323396;75014
5/9 BOULEVARD BOURDON;48.848397; 2.365936;75004
50 ROUTE DE L'ETOILE/PAVILLON DES ETANGS;48.8637; 2.2769;75016
50 ROUTE DES ETANGS/PAVILLON DES ETANGS;48.8637; 2.2769;75016
50 RUE DE CLICHY;48.880251; 2.329044;75009
50 RUE DU FAUBOURG POISSONNIERE;48.874449; 2.348081;75010
50 RUE JEAN BAPTISTE PIGALLE;48.88048; 2.335194;75009
50 RUE SAINT SABIN;48.858605; 2.369104;75011
51 AVENUE D'IENA;48.870082; 2.295387;75016
51 AVENUE MONTAIGNE;48.867895; 2.307581;75008
51 AVENUE POINCARE;48.86692; 2.285865;75016
51 QUAI DES GRANDS AUGUSTINS;48.855171; 2.341605;75006
51 RUE DE BELLEVILLE;48.873179; 2.381093;75019
51 RUE DE LA PLAINE;48.85016; 2.403863;75020
51 RUE DES ECOLES;48.849983; 2.343211;75005
51 RUE DES ECOLES/LE CHAMPO;48.849983; 2.343211;75005
51/53 BOULEVARD HAUSSMANN;48.873509; 2.327929;75009
51/55 RUE DE COURCELLES;48.876176; 2.307901;75008
52 BOULEVARD VINCENT AURIOL;48.835127; 2.368075;75013
52 RUE DES DAMES;48.883883; 2.321506;75017
53 AVENUE DES TERROIRS/MUSEE DES ARTS FORAINS;48.83269; 2.389472;75012
53 BOULEVARD VOLTAIRE;48.862281; 2.372923;75011
53 RUE DE COURCELLES;48.876176; 2.307901;75008
53 RUE VIEILLE DU TEMPLE;48.858435; 2.358385;75004
54 AVENUE DE VERSAILLES;48.848199; 2.274253;75016
54 AVENUE DE VERVAILLES;48.848199; 2.274253;75016
54 AVENUE MARCEAU;48.869527; 2.298644;75008
54 RUE DE LA TOUR MAUBOURG;48.857395; 2.308506;75007
54-56 RUE DUHESME;48.8927; 2.34188;75018
54/56 RUE DUHESME;48.8927; 2.34188;75018
55 AVENUE DE SAXE;48.846804; 2.31276;75007
55 BOULEVARD DE STRASBOURG;48.872852; 2.356006;75010
55 BOULEVARD ROCHECHOUART;48.882024; 2.340934;75009
55 QUAI DE BOURBON;48.853093; 2.353325;75004
55 RUE DES FRANCS BOURGEOIS/CMP;48.859473; 2.357605;75004
55 RUE JOUFFROY D'ABBANS;48.8846; 2.306404;75017
55 RUE RAYNOUARD;48.854972; 2.280207;75016
56 BOULEVARD DES INVALIDES;48.847466; 2.315929;75007
56 BOULEVARD MURAT;48.842788; 2.256011;75016
56 RUE DU CAPITAINE FERBER;48.867423; 2.407932;75020
56 RUE DU ROCHER;48.87842; 2.319739;75008
56 RUE TRAVERSIERE/LA CUVE A SON;48.849785; 2.375277;75012
57 RUE DE MALTE;48.86639; 2.36723;75011
57/59 PLACE DE LA REUNION;48.855449; 2.400886;75020
57/59 RUE DE LA REUNION;48.855431; 2.401229;75020
58 BOULEVARD MURAT;48.842601; 2.255959;75016
58 BOULEVARD PICPUS;48.844031; 2.40222;75012
58 RUE DE RENNES;48.85292; 2.332149;75006
58 RUE PICPUS;48.843372; 2.396801;75012
59 AVENUE DE SEGUR;48.849014; 2.307613;75007
59 BOULEVARD EXELMANS;48.842378; 2.261097;75016
59 BOULEVARD PEREIRE;48.887243; 2.305925;75017
59 RUE MOUZAIA;48.880475; 2.396149;75019
59/61 QUAI D'ORSAY;48.862275; 2.307205;75007
6 AVENUE DE LA PORTE DE CLICHY/GARE ROUTIERE;48.894847; 2.312146;75017
6 BOULEVARD JEAN JAURES;48.882643; 2.370477;75019
6 CITE DE L'AMEUBLEMENT;48.850974; 2.38571;75011
6 PASSAGE THIERE/MELTDOWN;48.853504; 2.374701;75011
6 PLACE DE BITCH;48.889119; 2.379378;75019
6 PLACE DE MEXICO;48.865711; 2.283282;75016
6 PLACE DES VOSGES (MAISON DE VICTOR HUGO);48.8601; 2.3507;75004
6 PLACE GUSTAVE TOUDOUZE;48.879684; 2.337375;75009
6 RUE BREY;48.876242; 2.296183;75017
6 RUE CONDORCET;48.879577; 2.348466;75009
6 RUE DE LA BAUME;48.874425; 2.311544;75008
6 RUE DE LA GRANGE BATELIERE;48.873131; 2.342149;75009
6 RUE DESCARTES;48.847185; 2.34847;75005
6 RUE DU RENDEZ VOUS;48.845109; 2.404963;75012
6 RUE FONTAINE;48.880776; 2.334921;75009
6 RUE PIERRE FONTAINE;48.880776; 2.334921;75009
6 RUE SAINT MAUR;48.859003; 2.383318;75011
6 RUE THOMAS MANN/UNIVERSITE DE CHICAGO;48.830397; 2.381034;75013
6/20 PASSAGE THIERE;48.854252; 2.373555;75011
60 BOULEVARD ROCHECHOUART;48.883217; 2.344838;75018
60 RUE BOTZARIS;48.879386; 2.385319;75019
60 RUE DE LA BOETIE;48.873407; 2.312315;75008
60 RUE DE TURENNE;48.859054; 2.364635;75003
60 RUE DES DAMES;48.883692; 2.320635;75017
60 RUE DES FRANCS BOURGEOIS;48.859968; 2.357262;75003
60 RUE RENE BOULANGER;48.868954; 2.35891;75010
60/70 BOULEVARD SERRURIER;48.881712; 2.39652;75019
61 AVENUE DE SAXE;48.871196; 2.295201;75016
61 BIS RUE BICHAT;48.873227; 2.365048;75010
61 QUAI DE GRENELLE;48.8495; 2.282467;75015
61 QUAI DE GRENELLE (HOTEL NOVOTEL);48.8495; 2.282467;75015
61 QUAI DE GRENELLE (NOVOTEL GRENELLE);48.8495; 2.282467;75015
62 BOULEVARD DE CLICHY;48.883412; 2.334619;75018
62 RUE DE LA REUNION;48.855458; 2.401361;75020
