Adresse;x;y;Arrondissement
11 PLACE D'ALIGRE;48.849129; 2.378532;75012
11 PLACE DAUPHINE/PALAIS DE JUSTICE;48.856212; 2.342446;75001
11 RUE BAILLY;48.865103; 2.355877;75003
11 RUE CHARDON LAGACHE;48.844977; 2.26667;75016
11 RUE CHARDON LAGACHE (HOPITAL STE PERINE);48.844977; 2.26667;75016
11 RUE DE LA FORGE ROYALE;48.851314; 2.380487;75011
11 RUE DES TAILLANDIERS;48.854104; 2.375256;75011
11 RUE FERDINAND GAMBON;48.85373; 2.407056;75020
11 RUE HELDER;48.872028; 2.334905;75009
11 RUE HELDER/HOTEL RICHMOND OPERA;48.872028; 2.334905;75009
11 RUE LEON LHERMITTE;48.842958; 2.296931;75015
11 RUE PIRANDELLO;48.836476; 2.355895;75013
11 RUE SPONTINI;48.870006; 2.278459;75016
11 SQUARE CHATILLON;48.825684; 2.323212;75014
11/19 BOULEVARD DE CLICHY;48.883667; 2.333761;75018
110 BOULEVARD DE LA VILLETTE;48.877183; 2.371578;75019
110 BOULEVARD MAC DONALD;48.8817; 2.3822;75019
110 GALERIE DE VALOIS (RESTAURANT DU PALAIS ROYAL);48.865653; 2.338945;75001
110 RUE DE GRENELLE;48.856634; 2.320797;75007
110 RUE DE GRENELLE (MINISTERE DE L'EDUCATION);48.856634; 2.320797;75007
112 RUE AMBROISE CROIZAT/ATELIERS CHRISTOPHLE;48.8944; 2.4093;93500
112 RUE CHAMPIONNET/RESTAURANT LA RENAISSANCE;48.895825; 2.339712;75018
113 AVENUE LEDRU ROLLIN;48.853091; 2.377002;75011
113 RUE DE LA FAISANDERIE;48.865959; 2.274119;75016
114 RUE OBERKAMPF (LE RIVIERA);48.866029; 2.379128;75011
116 AVENUE DES CHAMPS ELYSEES/LE LIDO;48.872265; 2.300938;75008
116 AVENUE DU PRESIDENT KENNEDY;48.85214; 2.279515;75016
116 AVENUE DU PRESIDENT KENNEDY (MAISON RADIO);48.85214; 2.279515;75016
116 AVENUE DU PRESIDENT KENNEDY (RADIO FRANCE);48.85214; 2.279515;75016
117 RUE DU CHERCHE MIDI/REST. CHEZ DUMONET;48.845823; 2.31981;75006
117 RUE SAINT LAZARE;48.875315; 2.325696;75008
118 RUE MOUFFETARD;48.840321; 2.349697;75005
119 RUE DES PYRENEES;48.85693; 2.404301;75020
11BIS RUE D'ORCHAMPT;48.886894; 2.336988;75018
11BIS RUE DE MOSCOU;48.880438; 2.325201;75008
12 AVENUE GEORGE V ET CONTRE ALLEE;48.865986; 2.301656;75008
12 AVENUE TRUDAINE;48.881483; 2.343411;75009
12 AVENUE TRUDAINE (LYCEE JACQUES DECOUR);48.881483; 2.343411;75009
12 AVENUE TRUDAINE/LYCEE JACQUES DECOUR;48.881483; 2.343411;75009
12 BOULEVARD MORLAND;48.849092; 2.364581;75004
12 PLACE DE LA NATION;48.847357; 2.395133;75012
12 PLACE DENFERT ROCHEREAU;48.834239; 2.330634;75014
12 PLACE DU PANTHEON;48.846802; 2.344876;75005
12 PLACE SAINT AUGUSTIN;48.875605; 2.319672;75008
12 QUAI DE SEINE/RESTO CORSO;48.885065; 2.371406;75019
12 RUE ALBERT ROUSSEL;48.891976; 2.305525;75017
12 RUE AUGUSTE COMTE;48.844249; 2.336289;75006
12 RUE BARBETTE;48.858946; 2.36064;75003
12 RUE CUJAS;48.847547; 2.343298;75005
12 RUE DE JOUY;48.854994; 2.35817;75004
12 RUE DE L'ECOLE DE MEDECINE;48.851237; 2.34077;75006
12 RUE DE SINGER;48.855613; 2.278729;75016
12 RUE DE TORCY/CHANTIER GCC;48.891254; 2.364076;75018
12 RUE DES MATHURINS;48.872994; 2.329661;75009
12 RUE DU 4 SEPTEMBRE;48.869537; 2.337461;75002
12 RUE DU QUATRE SEPTEMBRE;48.869537; 2.337461;75002
12 RUE DU RENARD;48.858822; 2.352329;75004
12 RUE FEYDEAU/PUB LE TRUSKEL;48.870076; 2.341326;75002
12 RUE JOSEPH DE MAISTRE/LE TERRASS'HOTEL;48.886486; 2.333111;75018
12 RUE LACUEE;48.849465; 2.369665;75012
12 RUE MAGENTA;48.90082; 2.391091;93500
12 RUE PRESBOURG;48.873946; 2.292878;75016
12 RUE STEINKERQUE;48.883676; 2.34365;75018
12/24 RUE DE LA GOUTTE D'OR;48.885077; 2.352792;75018
120 BOULEVARD DE ROCHECHOUART;48.8823; 2.340149;75018
123 RUE DE REUILLY;48.840608; 2.394875;75012
125 BOULEVARD MONTPARNASSE;48.841696; 2.331142;75006
125 RUE VIEILLE DU TEMPLE;48.861386; 2.363272;75003
127 RUE DE GRENELLE;48.857803; 2.315867;75007
127 RUE DU FAUBOURG SAINT HONORE;48.873274; 2.309406;75008
128 AVENUE DE FRANCE;48.831668; 2.376001;75013
128 AVENUE MOZART;48.849376; 2.266413;75016
129 RUE DE CAULAINCOURT;48.88987; 2.342408;75018
129 RUE DE SEVRES;48.847445; 2.318554;75006
13 AVENUE DU PRESIDENT WILSON (PALAIS TOKYO);48.864632; 2.297061;75016
13 PLACE D'ALIGRE;48.849065; 2.378688;75012
13 RUE DE LA GRANGE AUX BELLES;48.873962; 2.365164;75010
13 RUE DE LA PAIX;48.869325; 2.331098;75002
13 RUE DE SAVIES;48.871535; 2.391308;75020
13 RUE DU TEMPLE (BRASSERIE);48.858223; 2.353063;75004
13 RUE FAIDHERBE;48.851653; 2.383439;75011
13 RUE HENNER;48.880763; 2.333165;75009
13 RUE JACQUES LOUVEL TESSIER;48.871181; 2.369656;75010
13 RUE LOUVEL TESSIER;48.871181; 2.369656;75010
13 RUE VULPIAN;48.83154; 2.34649;75013
13/15 RUE DES PETITES ECURIES;48.872579; 2.351829;75010
130 BOULEVARD BESSIERES/SORTIE METRO PORT EDE CLICHY;48.8835; 2.3219;75017
131 RUE MICHEL ANGE/LE PALAIS DU BONHEUR;48.839066; 2.257753;75016
132 RUE DE RENNES;48.846156; 2.325902;75006
133 RUE DU FAUBOURG SAINT ANTOINE;48.850942; 2.377769;75011
133 RUE DU MONT CENIS;48.896757; 2.346563;75018
136 AVENUE DE SUFFREN;48.85136; 2.300316;75015
137 AVENUE DE CHOIST;48.827028; 2.359029;75013
